3.1620 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
128.5153 	DATA 	Keypress: down
128.5288 	EXP 	fixation: autoDraw = False
128.5288 	EXP 	grating: autoDraw = False
128.5288 	EXP 	grating: ori = 4.0
128.5288 	EXP 	fixation: autoDraw = True
129.5283 	EXP 	fixation: autoDraw = False
129.5283 	EXP 	grating: autoDraw = True
129.8285 	EXP 	grating: autoDraw = False
130.2480 	EXP 	New trial (rep=54, index=0): None
130.2490 	DATA 	Keypress: down
130.2618 	EXP 	fixation: autoDraw = False
130.2618 	EXP 	grating: autoDraw = False
130.2618 	EXP 	grating: ori = 0.0
130.2618 	EXP 	fixation: autoDraw = True
131.2616 	EXP 	fixation: autoDraw = False
131.2616 	EXP 	grating: autoDraw = True
131.5609 	EXP 	grating: autoDraw = False
132.4815 	EXP 	New trial (rep=55, index=0): None
132.4834 	DATA 	Keypress: up
132.4942 	EXP 	fixation: autoDraw = False
132.4942 	EXP 	grating: autoDraw = False
132.4942 	EXP 	grating: ori = -5.0
132.4942 	EXP 	fixation: autoDraw = True
133.4941 	EXP 	fixation: autoDraw = False
133.4941 	EXP 	grating: autoDraw = True
133.7939 	EXP 	grating: autoDraw = False
134.1656 	EXP 	New trial (rep=56, index=0): None
134.1679 	DATA 	Keypress: down
134.1772 	EXP 	fixation: autoDraw = False
134.1772 	EXP 	grating: autoDraw = False
134.1772 	EXP 	grating: ori = 0.0
134.1772 	EXP 	fixation: autoDraw = True
135.1771 	EXP 	fixation: autoDraw = False
135.1771 	EXP 	grating: autoDraw = True
135.4770 	EXP 	grating: autoDraw = False
136.5481 	EXP 	New trial (rep=57, index=0): None
136.5504 	DATA 	Keypress: up
136.5596 	EXP 	fixation: autoDraw = False
136.5596 	EXP 	grating: autoDraw = False
136.5596 	EXP 	grating: ori = 0.0
136.5596 	EXP 	fixation: autoDraw = True
137.5593 	EXP 	fixation: autoDraw = False
137.5593 	EXP 	grating: autoDraw = True
137.8593 	EXP 	grating: autoDraw = False
138.4644 	EXP 	New trial (rep=58, index=0): None
138.4666 	DATA 	Keypress: up
138.4756 	EXP 	fixation: autoDraw = False
138.4756 	EXP 	grating: autoDraw = False
138.4756 	EXP 	grating: ori = -1.0
138.4756 	EXP 	fixation: autoDraw = True
139.4753 	EXP 	fixation: autoDraw = False
139.4753 	EXP 	grating: autoDraw = True
139.7752 	EXP 	grating: autoDraw = False
140.9795 	EXP 	New trial (rep=59, index=0): None
